,the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,Shelter_ID,Corner,On_Street,Cross_Stre,Longitude,Latitude,NTAName,FEMAFldz,FEMAFldT,HrcEvac
2284,POINT (-73.77017463357122 40.595965758166116),4,Queens,414,31,31,10,5,QN04023,SE,BEACH CHANNEL DR,BEACH 38 ST,-73.770176,40.595974,Far Rockaway-Bayswater,AE,,1.0
2285,POINT (-73.78590362888804 40.59485775937072),4,Queens,414,31,31,10,5,QN04025,SE,BEACH CHANNEL DR,BEACH 56 ST,-73.785905,40.594866,Rockaway Beach-Arverne-Edgemere,AE,,1.0
2317,POINT (-73.82564861669952 40.5830027625186),4,Queens,414,32,23,10,5,QN04034,SE,ROCKAWAY BEACH BLVD,BEACH 105 ST,-73.82565,40.583011,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,X,AREA OF MINIMAL FLOOD HAZARD,1.0
2328,POINT (-73.8290056165102 40.58202976319081),4,Queens,414,32,23,10,5,QN04051,SE,ROCKAWAY BEACH BLVD,BEACH 108 ST,-73.829007,40.582038,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,X,AREA OF MINIMAL FLOOD HAZARD,1.0
2329,POINT (-73.8264796162047 40.58300576306968),4,Queens,414,32,23,10,5,QN04053,NW,ROCKAWAY BEACH BLVD,BEACH 105 ST,-73.826481,40.583014,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,X,AREA OF MINIMAL FLOOD HAZARD,1.0
2331,POINT (-73.74459764235837 40.59616575743329),4,Queens,414,31,23,10,5,QN04055,SW,SEAGIRT BLVD,BEACH 9 ST,-73.744599,40.596174,Far Rockaway-Bayswater,AE,,1.0
2413,POINT (-73.75646563812002 40.59541875814697),4,Queens,414,31,23,10,5,QN04151,NW,SEAGIRT BLVD,CREST RD,-73.756467,40.595427,Far Rockaway-Bayswater,AE,,1.0
2414,POINT (-73.7555396382168 40.594982758175085),4,Queens,414,31,23,10,5,QN04152,SE,SEAGIRT BLVD,CREST RD,-73.755541,40.594991,Far Rockaway-Bayswater,AE,,1.0
2415,POINT (-73.75355763872308 40.60968575527868),4,Queens,414,31,31,10,5,QN04153,NE,BEACH CHANNEL DR,HASSOCK ST,-73.753559,40.609694,Far Rockaway-Bayswater,AE,,1.0
2416,POINT (-73.79648662547615 40.59290275957515),4,Queens,414,31,31,10,5,QN04156,NW,BEACH CHANNEL DR,BEACH 67 ST,-73.796488,40.592911,Rockaway Beach-Arverne-Edgemere,AE,,1.0
2417,POINT (-73.80285962445281 40.58852776103283),4,Queens,414,32,23,10,5,QN04158,SW,ROCKAWAY BEACH BLVD,BEACH 75 ST,-73.802861,40.588536,Rockaway Beach-Arverne-Edgemere,X,AREA OF MINIMAL FLOOD HAZARD,1.0
2418,POINT (-73.83838161278774 40.58131076382985),4,Queens,414,32,23,10,5,QN04159,SW,NEWPORT AV,BEACH 116 ST,-73.838383,40.581319,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,AE,,1.0
2486,POINT (-73.77279563332146 40.59588775883505),4,Queens,414,31,31,10,5,QN04278,NW,BEACH CHANNEL DR,BEACH 40 ST,-73.772797,40.595896,Rockaway Beach-Arverne-Edgemere,AE,,1.0
2662,POINT (-73.80003862510026 40.59182976002087),4,Queens,414,31,31,10,5,QN04931,SE,BEACH CHANNEL DR,BEACH 71 ST,-73.80004,40.591838,Rockaway Beach-Arverne-Edgemere,X,AREA OF MINIMAL FLOOD HAZARD,1.0
2684,POINT (-73.74960864012647 40.60266175652724),4,Queens,414,31,23,10,5,QN04477,NE,CORNAGA AV,MOTT AV,-73.74961,40.60267,Far Rockaway-Bayswater,X,AREA OF MINIMAL FLOOD HAZARD,1.0
2698,POINT (-73.78144963022902 40.59536575867582),4,Queens,414,31,31,10,5,QN04492,NE,BEACH CHANNEL DR,BEACH 51 ST,-73.781451,40.595374,Rockaway Beach-Arverne-Edgemere,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,1.0
2734,POINT (-73.80945462204201 40.587660761062224),4,Queens,414,32,23,10,5,QN04531,SE,ROCKAWAY BEACH BLVD,BEACH 84 ST,-73.809456,40.587669,Rockaway Beach-Arverne-Edgemere,X,AREA OF MINIMAL FLOOD HAZARD,1.0
2735,POINT (-73.82353761762953 40.583850762341584),4,Queens,414,32,23,10,5,QN04533,NW,ROCKAWAY BEACH BLVD,BEACH 102 ST,-73.823539,40.583859,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,X,AREA OF MINIMAL FLOOD HAZARD,1.0
2758,POINT (-73.8068946224355 40.58788976115468),4,Queens,414,32,23,10,5,QN04566,SE,ROCKAWAY BEACH BLVD,BEACH 81 ST,-73.806896,40.587898,Rockaway Beach-Arverne-Edgemere,X,AREA OF MINIMAL FLOOD HAZARD,1.0
2759,POINT (-73.84784861080628 40.57611876479319),4,Queens,414,32,23,10,5,QN04567,NE,ROCKAWAY BEACH BLVD,BEACH 129 ST,-73.84785,40.576127,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,X,AREA OF MINIMAL FLOOD HAZARD,1.0
2761,POINT (-73.78142263065614 40.595175758581824),4,Queens,414,31,23,10,5,QN04569,SE,BEACH CHANNEL DR,BEACH 51 ST,-73.781424,40.595184,Rockaway Beach-Arverne-Edgemere,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,1.0
2828,POINT (-73.79578262634243 40.59277475985756),4,Queens,414,31,31,10,5,QN04660,SE,BEACH CHANNEL DR,BEACH 67 ST,-73.795784,40.592783,Rockaway Beach-Arverne-Edgemere,AE,,1.0
2833,POINT (-73.77537363241669 40.59560975844041),4,Queens,414,31,31,10,5,QN04665,SE,BEACH CHANNEL DR,BEACH 44 ST,-73.775375,40.595618,Rockaway Beach-Arverne-Edgemere,AE,,1.0
3008,POINT (-73.82324161758198 40.58370476261591),4,Queens,414,32,23,10,5,QN04973,SW,ROCKAWAY BEACH BLVD,BEACH 102 ST,-73.823243,40.583713,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,X,AREA OF MINIMAL FLOOD HAZARD,1.0
3014,POINT (-73.80533862338712 40.588091761119706),4,Queens,414,32,23,10,5,QN04979,SW,ROCKAWAY BEACH BLVD,BEACH 79 ST,-73.80534,40.5881,Rockaway Beach-Arverne-Edgemere,X,AREA OF MINIMAL FLOOD HAZARD,1.0
3115,POINT (-73.75143863971265 40.59494175803331),4,Queens,414,31,23,10,5,QN0911,SW,SEAGIRT BLVD,BEACH 17 ST,-73.75144,40.59495,Far Rockaway-Bayswater,AE,,1.0
3116,POINT (-73.75351863894716 40.5949327582906),4,Queens,414,31,23,10,5,QN0912,SW,SEAGIRT BLVD,BEACH 19 ST,-73.75352,40.594941,Far Rockaway-Bayswater,AE,,1.0
3117,POINT (-73.78471562944992 40.59494075930014),4,Queens,414,31,31,10,5,QN0924,SW,BEACH CHANNEL DR,BEACH 54 ST,-73.784717,40.594949,Rockaway Beach-Arverne-Edgemere,AE,,1.0
3118,POINT (-73.80773262206452 40.58810076104712),4,Queens,414,31,31,10,5,QN0934,NW,ROCKAWAY BEACH BLVD,BEACH 81 ST,-73.807734,40.588109,Rockaway Beach-Arverne-Edgemere,AE,,1.0
3119,POINT (-73.81317962089354 40.587166761262225),4,Queens,414,32,31,10,5,QN0936,SE,ROCKAWAY BEACH BLVD,BEACH 88 ST,-73.813181,40.587175,Rockaway Beach-Arverne-Edgemere,X,AREA OF MINIMAL FLOOD HAZARD,1.0
3120,POINT (-73.7442096426349 40.59596675701564),4,Queens,414,31,23,10,5,QN0948,SW,SEAGIRT AV,BEACH 9 ST,-73.744211,40.595975,Far Rockaway-Bayswater,AE,,1.0
3121,POINT (-73.78493762930746 40.59513475913514),4,Queens,414,31,31,10,5,QN0951,NW,BEACH CHANNEL DR,BEACH 54 ST,-73.784939,40.595143,Rockaway Beach-Arverne-Edgemere,AE,,1.0
